tender_date,delivery_date,awarded_mw,offered_mw,clearing_price_eur_mw_week,marginal_price_eur_mw_week,num_bids
2024-01-01,2024-01-01,564.0,598.0,114.8,114.8,
2024-01-01,2024-01-01,564.0,597.0,104.4,104.4,
2024-01-01,2024-01-01,564.0,610.0,68.8,68.8,
2024-01-01,2024-01-01,564.0,606.0,77.6,77.6,
2024-01-01,2024-01-01,564.0,614.0,72.4,72.4,
2024-01-01,2024-01-01,564.0,619.0,79.96,79.96,
2024-01-02,2024-01-02,564.0,594.0,57.04,57.04,
2024-01-02,2024-01-02,564.0,595.0,59.21,59.21,
2024-01-02,2024-01-02,564.0,575.0,60.0,60.0,
2024-01-02,2024-01-02,564.0,623.0,98.0,98.0,
2024-01-02,2024-01-02,564.0,622.0,94.0,94.0,
2024-01-02,2024-01-02,564.0,585.0,67.03,67.03,
2024-01-03,2024-01-03,564.0,618.0,94.4,94.4,
2024-01-03,2024-01-03,564.0,623.0,87.7,87.7,
2024-01-03,2024-01-03,564.0,566.0,56.4,56.4,
2024-01-03,2024-01-03,564.0,564.0,60.0,60.0,
2024-01-03,2024-01-03,564.0,547.0,67.4,67.4,
2024-01-03,2024-01-03,564.0,623.0,55.6,55.6,
2024-01-04,2024-01-04,564.0,576.0,56.0,56.0,
2024-01-04,2024-01-04,564.0,656.0,49.6,49.6,
2024-01-04,2024-01-04,564.0,634.0,54.0,54.0,
2024-01-04,2024-01-04,564.0,646.0,107.6,107.6,
2024-01-04,2024-01-04,564.0,630.0,135.6,135.6,
2024-01-04,2024-01-04,564.0,650.0,56.17,56.17,
2024-01-05,2024-01-05,564.0,649.0,81.4,81.4,
2024-01-05,2024-01-05,564.0,649.0,65.2,65.2,
2024-01-05,2024-01-05,564.0,636.0,50.04,50.04,
2024-01-05,2024-01-05,564.0,659.0,42.8,42.8,
2024-01-05,2024-01-05,564.0,630.0,54.4,54.4,
2024-01-05,2024-01-05,564.0,659.0,40.4,40.4,
2024-01-06,2024-01-06,564.0,629.0,69.62,69.62,
2024-01-06,2024-01-06,564.0,628.0,56.04,56.04,
2024-01-06,2024-01-06,564.0,668.0,38.4,38.4,
2024-01-06,2024-01-06,564.0,685.0,36.35,36.35,
2024-01-06,2024-01-06,564.0,624.0,41.13,41.13,
2024-01-06,2024-01-06,564.0,655.0,37.6,37.6,
2024-01-07,2024-01-07,564.0,640.0,43.54,43.54,
2024-01-07,2024-01-07,564.0,668.0,35.6,35.6,
2024-01-07,2024-01-07,564.0,656.0,34.12,34.12,
2024-01-07,2024-01-07,564.0,639.0,58.0,58.0,
2024-01-07,2024-01-07,564.0,652.0,38.86,38.86,
2024-01-07,2024-01-07,564.0,637.0,54.95,54.95,
2024-01-08,2024-01-08,564.0,647.0,50.3,50.3,
2024-01-08,2024-01-08,564.0,652.0,67.2,67.2,
2024-01-08,2024-01-08,564.0,669.0,40.5,40.5,
2024-01-08,2024-01-08,564.0,691.0,37.02,37.02,
2024-01-08,2024-01-08,564.0,608.0,40.0,40.0,
2024-01-08,2024-01-08,564.0,686.0,34.38,34.38,
2024-01-09,2024-01-09,564.0,641.0,34.0,34.0,
2024-01-09,2024-01-09,564.0,590.0,52.91,52.91,
2024-01-09,2024-01-09,564.0,630.0,33.2,33.2,
2024-01-09,2024-01-09,564.0,649.0,40.5,40.5,
2024-01-09,2024-01-09,564.0,651.0,46.19,46.19,
2024-01-09,2024-01-09,564.0,630.0,36.28,36.28,
2024-01-10,2024-01-10,564.0,554.0,56.8,56.8,
2024-01-10,2024-01-10,564.0,612.0,29.12,29.12,
2024-01-10,2024-01-10,564.0,577.0,38.52,38.52,
2024-01-10,2024-01-10,564.0,583.0,54.64,54.64,
2024-01-10,2024-01-10,564.0,641.0,37.0,37.0,
2024-01-10,2024-01-10,564.0,565.0,55.52,55.52,
2024-01-11,2024-01-11,564.0,632.0,32.8,32.8,
2024-01-11,2024-01-11,564.0,607.0,36.79,36.79,
2024-01-11,2024-01-11,564.0,606.0,35.14,35.14,
2024-01-11,2024-01-11,564.0,587.0,28.0,28.0,
2024-01-11,2024-01-11,564.0,557.0,55.2,55.2,
2024-01-11,2024-01-11,564.0,615.0,27.2,27.2,
2024-01-12,2024-01-12,564.0,545.0,54.29,54.29,
2024-01-12,2024-01-12,564.0,595.0,26.79,26.79,
2024-01-12,2024-01-12,564.0,587.0,33.2,33.2,
2024-01-12,2024-01-12,564.0,585.0,39.64,39.64,
2024-01-12,2024-01-12,564.0,560.0,25.83,25.83,
2024-01-12,2024-01-12,564.0,587.0,25.6,25.6,
2024-01-13,2024-01-13,564.0,541.0,34.3,34.3,
2024-01-13,2024-01-13,564.0,555.0,34.37,34.37,
2024-01-13,2024-01-13,564.0,572.0,40.04,40.04,
2024-01-13,2024-01-13,564.0,575.0,41.8,41.8,
2024-01-13,2024-01-13,564.0,575.0,44.1,44.1,
2024-01-13,2024-01-13,564.0,541.0,35.31,35.31,
2024-01-14,2024-01-14,564.0,618.0,29.47,29.47,
2024-01-14,2024-01-14,564.0,618.0,31.66,31.66,
2024-01-14,2024-01-14,564.0,580.0,36.0,36.0,
2024-01-14,2024-01-14,564.0,611.0,27.2,27.2,
2024-01-14,2024-01-14,564.0,569.0,31.66,31.66,
2024-01-14,2024-01-14,564.0,602.0,30.68,30.68,
2024-01-15,2024-01-15,564.0,618.0,36.4,36.4,
2024-01-15,2024-01-15,564.0,618.0,33.01,33.01,
2024-01-15,2024-01-15,564.0,554.0,32.03,32.03,
2024-01-15,2024-01-15,564.0,587.0,27.14,27.14,
2024-01-15,2024-01-15,564.0,524.0,37.5,37.5,
2024-01-15,2024-01-15,564.0,611.0,27.16,27.16,
2024-01-16,2024-01-16,564.0,618.0,24.68,24.68,
2024-01-16,2024-01-16,564.0,619.0,36.65,36.65,
2024-01-16,2024-01-16,564.0,549.0,41.43,41.43,
2024-01-16,2024-01-16,564.0,580.0,29.14,29.14,
2024-01-16,2024-01-16,564.0,600.0,34.81,34.81,
2024-01-16,2024-01-16,564.0,615.0,35.23,35.23,
2024-01-17,2024-01-17,564.0,568.0,44.53,44.53,
2024-01-17,2024-01-17,564.0,594.0,25.92,25.92,
2024-01-17,2024-01-17,564.0,612.0,23.97,23.97,
2024-01-17,2024-01-17,564.0,611.0,39.87,39.87,
2024-01-17,2024-01-17,564.0,627.0,29.05,29.05,
2024-01-17,2024-01-17,564.0,591.0,34.27,34.27,
2024-01-18,2024-01-18,564.0,600.0,27.33,27.33,
2024-01-18,2024-01-18,564.0,629.0,30.53,30.53,
2024-01-18,2024-01-18,564.0,528.0,31.86,31.86,
2024-01-18,2024-01-18,564.0,536.0,22.7,22.7,
2024-01-18,2024-01-18,564.0,459.0,48.2,48.2,
2024-01-18,2024-01-18,564.0,588.0,24.55,24.55,
2024-01-19,2024-01-19,564.0,594.0,24.03,24.03,
2024-01-19,2024-01-19,564.0,493.0,45.91,45.91,
2024-01-19,2024-01-19,564.0,615.0,24.8,24.8,
2024-01-19,2024-01-19,564.0,617.0,40.0,40.0,
2024-01-19,2024-01-19,564.0,647.0,30.08,30.08,
2024-01-19,2024-01-19,564.0,633.0,38.0,38.0,
2024-01-20,2024-01-20,564.0,637.0,32.0,32.0,
2024-01-20,2024-01-20,564.0,589.0,31.09,31.09,
2024-01-20,2024-01-20,564.0,574.0,26.0,26.0,
2024-01-20,2024-01-20,564.0,623.0,25.38,25.38,
2024-01-20,2024-01-20,564.0,572.0,26.24,26.24,
2024-01-20,2024-01-20,564.0,600.0,27.82,27.82,
2024-01-21,2024-01-21,564.0,607.0,38.83,38.83,
2024-01-21,2024-01-21,564.0,603.0,37.75,37.75,
2024-01-21,2024-01-21,564.0,614.0,31.9,31.9,
2024-01-21,2024-01-21,564.0,548.0,34.08,34.08,
2024-01-21,2024-01-21,564.0,585.0,29.66,29.66,
2024-01-21,2024-01-21,564.0,617.0,39.66,39.66,
2024-01-22,2024-01-22,564.0,540.0,32.15,32.15,
2024-01-22,2024-01-22,564.0,498.0,43.44,43.44,
2024-01-22,2024-01-22,564.0,588.0,31.39,31.39,
2024-01-22,2024-01-22,564.0,554.0,37.66,37.66,
2024-01-22,2024-01-22,564.0,613.0,39.81,39.81,
2024-01-22,2024-01-22,564.0,584.0,40.39,40.39,
2024-01-23,2024-01-23,564.0,613.0,50.0,50.0,
2024-01-23,2024-01-23,564.0,605.0,52.93,52.93,
2024-01-23,2024-01-23,564.0,559.0,37.66,37.66,
2024-01-23,2024-01-23,564.0,573.0,35.95,35.95,
2024-01-23,2024-01-23,564.0,528.0,39.29,39.29,
2024-01-23,2024-01-23,564.0,634.0,37.15,37.15,
2024-01-24,2024-01-24,564.0,573.0,59.66,59.66,
2024-01-24,2024-01-24,564.0,592.0,53.92,53.92,
2024-01-24,2024-01-24,564.0,625.0,39.56,39.56,
2024-01-24,2024-01-24,564.0,637.0,37.71,37.71,
2024-01-24,2024-01-24,564.0,584.0,46.19,46.19,
2024-01-24,2024-01-24,564.0,644.0,40.0,40.0,
2024-01-25,2024-01-25,564.0,637.0,30.36,30.36,
2024-01-25,2024-01-25,564.0,637.0,31.88,31.88,
2024-01-25,2024-01-25,564.0,597.0,41.31,41.31,
2024-01-25,2024-01-25,564.0,605.0,65.6,65.6,
2024-01-25,2024-01-25,564.0,585.0,32.03,32.03,
2024-01-25,2024-01-25,564.0,637.0,86.3,86.3,
2024-01-26,2024-01-26,564.0,522.0,46.21,46.21,
2024-01-26,2024-01-26,564.0,630.0,34.52,34.52,
2024-01-26,2024-01-26,564.0,634.0,35.15,35.15,
2024-01-26,2024-01-26,564.0,612.0,48.71,48.71,
2024-01-26,2024-01-26,564.0,617.0,58.99,58.99,
2024-01-26,2024-01-26,564.0,592.0,35.45,35.45,
2024-01-27,2024-01-27,564.0,661.0,54.11,54.11,
2024-01-27,2024-01-27,564.0,659.0,47.27,47.27,
2024-01-27,2024-01-27,564.0,670.0,44.0,44.0,
2024-01-27,2024-01-27,564.0,652.0,35.13,35.13,
2024-01-27,2024-01-27,564.0,590.0,34.51,34.51,
2024-01-27,2024-01-27,564.0,673.0,34.0,34.0,
2024-01-28,2024-01-28,564.0,649.0,38.88,38.88,
2024-01-28,2024-01-28,564.0,679.0,32.14,32.14,
2024-01-28,2024-01-28,564.0,674.0,46.86,46.86,
2024-01-28,2024-01-28,564.0,683.0,36.03,36.03,
2024-01-28,2024-01-28,564.0,657.0,40.45,40.45,
2024-01-28,2024-01-28,564.0,662.0,48.49,48.49,
2024-01-29,2024-01-29,564.0,640.0,41.07,41.07,
2024-01-29,2024-01-29,564.0,590.0,48.0,48.0,
2024-01-29,2024-01-29,564.0,539.0,31.04,31.04,
2024-01-29,2024-01-29,564.0,533.0,29.33,29.33,
2024-01-29,2024-01-29,564.0,539.0,37.99,37.99,
2024-01-29,2024-01-29,564.0,594.0,24.56,24.56,
2024-01-30,2024-01-30,564.0,613.0,24.0,24.0,
2024-01-30,2024-01-30,564.0,499.0,40.36,40.36,
2024-01-30,2024-01-30,564.0,544.0,29.81,29.81,
2024-01-30,2024-01-30,564.0,616.0,35.67,35.67,
2024-01-30,2024-01-30,564.0,570.0,39.25,39.25,
2024-01-30,2024-01-30,564.0,568.0,33.59,33.59,
2024-01-31,2024-01-31,564.0,550.0,27.0,27.0,
