date,grid_load_mwh,grid_load_incl_pumped_mwh,residual_load_mwh
2024-01-01,1021080.0,1069010.0,206270.0
2024-01-02,1271127.0,1298321.0,453076.0
2024-01-03,1354050.0,1391434.0,322282.0
2024-01-04,1381904.0,1411446.0,757598.0
2024-01-05,1366758.0,1383590.0,774694.0
2024-01-06,1248272.0,1263186.0,843078.0
2024-01-07,1229168.0,1256576.0,789019.0
2024-01-08,1500718.0,1530228.0,932164.0
2024-01-09,1535753.0,1560797.0,1170379.0
2024-01-10,1537874.0,1562963.0,1306547.0
2024-01-11,1553538.0,1578310.0,1346653.0
2024-01-12,1537872.0,1561530.0,1288871.0
2024-01-13,1386131.0,1395886.0,753799.0
2024-01-14,1303766.0,1330346.0,585383.0
2024-01-15,1570357.0,1600262.0,840501.0
2024-01-16,1555490.0,1581840.0,1100107.0
2024-01-17,1594772.0,1625624.0,1222602.0
2024-01-18,1565016.0,1588809.0,1278879.0
2024-01-19,1589958.0,1616436.0,837662.0
2024-01-20,1390532.0,1415873.0,603817.0
2024-01-21,1317760.0,1344093.0,374277.0
2024-01-22,1538081.0,1576840.0,436115.0
2024-01-23,1540014.0,1578944.0,479468.0
2024-01-24,1504781.0,1550611.0,339624.0
2024-01-25,1469992.0,1500140.0,774780.0
2024-01-26,1454437.0,1481378.0,600156.0
2024-01-27,1279785.0,1315624.0,607844.0
2024-01-28,1138178.0,1179786.0,523892.0
2024-01-29,1397396.0,1415288.0,840160.0
2024-01-30,1445950.0,1465406.0,836990.0
2024-01-31,1514987.0,1540155.0,859720.0
2024-02-01,1507570.0,1543451.0,677834.0
2024-02-02,1484117.0,1509691.0,563051.0
2024-02-03,1294614.0,1335573.0,281232.0
2024-02-04,1227674.0,1286404.0,146311.0
2024-02-05,1445726.0,1484146.0,246822.0
2024-02-06,1493298.0,1532890.0,267849.0
2024-02-07,1496148.0,1525186.0,825639.0
2024-02-08,1466770.0,1486629.0,1149776.0
2024-02-09,1450210.0,1474662.0,758586.0
2024-02-10,1221815.0,1235992.0,832819.0
2024-02-11,1161707.0,1203013.0,683762.0
2024-02-12,1375301.0,1396710.0,984886.0
2024-02-13,1437378.0,1473136.0,817506.0
2024-02-14,1425812.0,1446096.0,863698.0
2024-02-15,1399301.0,1418132.0,916412.0
2024-02-16,1403246.0,1429286.0,728445.0
2024-02-17,1207079.0,1232265.0,802864.0
2024-02-18,1145994.0,1196975.0,527427.0
2024-02-19,1414850.0,1433872.0,669596.0
2024-02-20,1440521.0,1462468.0,784064.0
2024-02-21,1458503.0,1494856.0,674420.0
2024-02-22,1456507.0,1491200.0,620136.0
2024-02-23,1445185.0,1486606.0,567304.0
2024-02-24,1220588.0,1251384.0,661792.0
2024-02-25,1158856.0,1197464.0,671186.0
2024-02-26,1399382.0,1428722.0,973810.0
2024-02-27,1429046.0,1449852.0,1190123.0
2024-02-28,1436330.0,1463725.0,1181705.0
2024-02-29,1453382.0,1484568.0,782121.0
2024-03-01,1399354.0,1419481.0,916343.0
2024-03-02,1185000.0,1221485.0,635843.0
2024-03-03,1112724.0,1148147.0,566631.0
2024-03-04,1411423.0,1428599.0,1125867.0
2024-03-05,1464542.0,1490976.0,1079939.0
2024-03-06,1431878.0,1452062.0,1162557.0
2024-03-07,1423678.0,1443544.0,977873.0
2024-03-08,1379269.0,1419045.0,533499.0
2024-03-09,1221117.0,1264849.0,361144.0
2024-03-10,1171143.0,1212212.0,325154.0
2024-03-11,1405394.0,1426698.0,807425.0
2024-03-12,1412513.0,1430518.0,1177794.0
2024-03-13,1423990.0,1447524.0,1038467.0
2024-03-14,1398288.0,1433790.0,832317.0
2024-03-15,1382703.0,1420494.0,591030.0
2024-03-16,1217162.0,1267408.0,449333.0
2024-03-17,1102701.0,1138991.0,676842.0
2024-03-18,1369295.0,1392523.0,968893.0
2024-03-19,1387821.0,1421219.0,998313.0
2024-03-20,1355589.0,1385206.0,1081468.0
2024-03-21,1368859.0,1388678.0,909224.0
2024-03-22,1368783.0,1406583.0,748196.0
2024-03-23,1183285.0,1228230.0,458269.0
2024-03-24,1136911.0,1204208.0,208826.0
2024-03-25,1322881.0,1342824.0,814066.0
2024-03-26,1376796.0,1400213.0,709147.0
2024-03-27,1368202.0,1400631.0,908524.0
2024-03-28,1352206.0,1387465.0,586935.0
2024-03-29,1122028.0,1182312.0,412707.0
2024-03-30,1072350.0,1102076.0,644194.0
2024-03-31,864718.0,906500.0,524394.0
2024-04-01,1041487.0,1067919.0,568124.0
2024-04-02,1326668.0,1394968.0,333119.0
2024-04-03,1349413.0,1372430.0,846147.0
2024-04-04,1355950.0,1397192.0,509662.0
2024-04-05,1321410.0,1359572.0,450324.0
2024-04-06,1113232.0,1157598.0,362204.0
2024-04-07,1043015.0,1111525.0,358302.0
2024-04-08,1265132.0,1302323.0,839050.0
2024-04-09,1339950.0,1373208.0,596777.0
2024-04-10,1349296.0,1401620.0,727131.0
2024-04-11,1359909.0,1402741.0,686308.0
2024-04-12,1320189.0,1361613.0,666250.0
2024-04-13,1105669.0,1158901.0,366973.0
2024-04-14,1056624.0,1123735.0,289459.0
2024-04-15,1288906.0,1321043.0,648762.0
2024-04-16,1368466.0,1417294.0,600494.0
2024-04-17,1347068.0,1378244.0,1008026.0
2024-04-18,1352114.0,1382634.0,918420.0
2024-04-19,1366391.0,1412339.0,495687.0
2024-04-20,1150676.0,1196864.0,570207.0
2024-04-21,1090199.0,1138932.0,586589.0
2024-04-22,1329937.0,1357158.0,940024.0
2024-04-23,1362939.0,1393338.0,937302.0
2024-04-24,1374620.0,1407521.0,882016.0
2024-04-25,1359406.0,1389337.0,946744.0
2024-04-26,1317475.0,1342206.0,854734.0
2024-04-27,1104069.0,1137672.0,568648.0
2024-04-28,1055037.0,1106609.0,297018.0
2024-04-29,1249768.0,1279691.0,740940.0
2024-04-30,1265944.0,1295533.0,650703.0
2024-05-01,977648.0,1024994.0,208202.0
2024-05-02,1248289.0,1301488.0,346307.0
2024-05-03,1287554.0,1313320.0,712479.0
2024-05-04,1079406.0,1114820.0,722631.0
2024-05-05,1031533.0,1077913.0,443658.0
2024-05-06,1289584.0,1310141.0,939192.0
2024-05-07,1316890.0,1336016.0,1001717.0
2024-05-08,1278744.0,1306862.0,956360.0
2024-05-09,1016764.0,1056685.0,609014.0
2024-05-10,1097758.0,1135340.0,689605.0
2024-05-11,1016887.0,1055842.0,555956.0
2024-05-12,973127.0,1023940.0,314310.0
2024-05-13,1260028.0,1297513.0,483889.0
2024-05-14,1293651.0,1335628.0,386166.0
2024-05-15,1287046.0,1325712.0,456144.0
2024-05-16,1310088.0,1356638.0,549816.0
2024-05-17,1278608.0,1316755.0,598228.0
